"id","series","samp_period","t_22","t_24","t_26","t_28","t_30","t_32","zlogmass.22","zlogmass.24","zlogmass.26","zlogmass.28","zlogmass.30","zlogmass.32","prior_temp22","prior_temp24","prior_temp26","prior_temp28","prior_temp30","prior_temp32"
"ld0002","ld0002_1",1,-6.13709582035617,-5.44005629186678,-5.33537458175171,-5.4303785262092,-5.04211558972438,-5.42592576336663,-0.873992280815429,-0.633375452966432,-0.633375452966432,-0.69689040032341,-0.69689040032341,-0.873992280815429,32,30,20,24.5,26,30
"ld0002","ld0002_10",10,-5.06272774983345,-5.52136067288694,-5.32355579306773,-4.92697355839637,-4.50881337227799,-4.62794190467702,-1.11310768245006,-1.12147172255982,-1.12147172255982,-1.10475169630409,-1.11310768245006,-1.10475169630409,32,26,22,22,22,30
"ld0002","ld0002_2",2,-5.51265108861901,-4.69109785948743,-5.35868369672463,-5.16233665096548,-4.91224726482475,-4.69762511590071,-0.406954117386605,-0.570322017023104,-0.391554484344103,-0.391554484344103,-0.406954117386605,-0.570322017023104,32,25.4,22.5,23.6,26,26.4
"ld0002","ld0002_3",3,-5.12322739474835,-4.83108369509568,-5.66306250133993,-4.40178136071734,-4.56763839826677,-3.97060108534079,-1.07140798211042,-1.07140798211042,-1.47152934687492,-1.36760366230832,-1.36760366230832,-1.47152934687492,27,28,32,22,26,26
"ld0002","ld0002_4",4,-4.91982285032272,-4.71995687767001,-4.57705397718234,-4.71725414229176,-4.50517146911682,-4.19802242766349,-0.898425026028292,-0.69689040032341,-0.898425026028292,-0.931109399666069,-0.931109399666069,-0.69689040032341,25.5,26,32,26.5,28,28.5
"ld0002","ld0002_5",5,-6.36341093681177,-4.64940110930934,-4.65946735591676,-4.25138356925333,-4.29233292502385,-4.19057006280471,-0.523330796007559,-0.406954117386605,-0.523330796007559,-0.406954117386605,-0.216395495182046,-0.216395495182046,24,30,22,23.5,23,24
"ld0002","ld0002_6",6,-6.34299275822718,-4.89414829793635,-4.617243981798,-4.4789355878355,-3.7982489282514,-3.86116783200157,-0.69689040032341,-0.69689040032341,-0.752849909396075,-0.752849909396075,-0.406954117386605,-0.406954117386605,32,24.5,28,24.5,22,24.5
"ld0002","ld0002_7",7,-5.87236788574688,-4.99286531947482,-4.88958041675613,-5.3683950405062,-4.19833561602102,-4.20646829697369,-0.752849909396075,-0.657139112569601,-0.617569089867457,-0.657139112569601,-0.617569089867457,-0.752849909396075,25,24,28,30,25,22
"ld0002","ld0002_8",8,-5.39557303759378,-4.81666806217948,-4.73372233848642,-4.02411803600017,-4.4454070853007,-4.49749701657664,-1.18867586051718,-1.01336301022263,-0.931109399666069,-0.931109399666069,-1.01336301022263,-1.18867586051718,23,26,23,24,22,22
"ld0006","ld0006_1",1,-5.9703200753898,-5.81812857335273,-5.49099427540518,-5.69690597208733,-5.35490718912546,-5.18213988577203,-0.57817868658838,-0.586042475927687,-0.841521930705356,-0.57817868658838,-0.841521930705356,-0.586042475927687,27.5,26.5,22,26,26.5,24
"ld0006","ld0006_10",10,-6.26421492096632,-5.77414464034156,-5.63563431984194,-4.87674219189653,-4.75847009449059,-4.75740802978657,-1.0381918996709,-1.44543100858015,-1.35040307998272,-1.44543100858015,-1.35040307998272,-1.0381918996709,26,22.5,22,24,22,22.5
"ld0006","ld0006_2",2,-5.57034002348685,-5.67782324992362,-5.41391925763062,-5.04786811242238,-4.83187406776373,-4.57735494169564,-0.406954117386605,-0.617569089867457,-0.720828873275605,-0.720828873275605,-0.617569089867457,-0.406954117386605,26.5,24.5,22,24.5,24,26
"ld0006","ld0006_4",4,-5.99232291540066,-5.72771785402003,-5.60004156986026,-5.08466673071736,-5.36089663494203,-5.16497441667773,-1.33323652454843,-1.09640374862607,-1.09640374862607,-0.972138747694964,-0.972138747694964,-1.33323652454843,32,30,24.5,25.5,26,25
"ld0006","ld0006_5",5,-5.79851796962349,-5.74073197696258,-4.52853595750866,-5.27179832533336,-4.95785865790433,-5.33130719603769,-0.523330796007559,-0.5389662794125,-0.720828873275605,-0.5389662794125,-0.523330796007559,-0.720828873275605,23.5,25.5,22,22,28,26
"ld0006","ld0006_6",6,-5.88619575565669,-6.04025109128397,-6.39935038281442,-6.72345235306371,-5.09145182609462,-5.02279816280713,-1.02163141574774,-1.00510247562257,-1.00510247562257,-0.801104107557677,-0.801104107557677,-1.02163141574774,32,28,24,23.5,24,24
"ld0006","ld0006_7",7,-6.19429040771552,-6.27067222885574,-5.2406388213332,-5.45392260373112,-5.33229554184889,-5.12127924253663,-1.41941092628976,-1.47152934687492,-1.53273245860948,-1.53273245860948,-1.41941092628976,-1.47152934687492,24.5,22,28,25,24,25.5
"ld0006","ld0006_8",8,-5.97406794923549,-5.76051855416244,-5.72554292523826,-5.4235377911426,-5.2370764640833,-4.65052431011013,-1.33323652454843,-1.06309203423674,-1.33323652454843,-1.41941092628976,-1.41941092628976,-1.06309203423674,23,22.5,24,30,23,26
"ld0006","ld0006_9",9,-5.91082472543481,-5.58997720650427,-5.57257422844785,-5.57560537822649,-4.361327781657,-5.2571842524305,-1.6032115541942,-1.64755345416279,-1.64755345416279,-1.7459106126234,-1.7459106126234,-1.6032115541942,22,32,23,23,28,26
"ld0011","ld0011_1",1,-5.51756277550119,-4.76018930947007,-3.76222580253051,-4.59084311043705,-4.55003382066658,-5.03088167583688,0.0508599079904245,0.181463073041441,0.181463073041441,0.00688502870372367,0.00688502870372367,0.0508599079904245,32,30,21,22.5,26,30.5
"ld0011","ld0011_2",2,-5.56294485016498,-4.6291816681005,-4.10287278435139,-4.96843019250971,-4.34032461788683,-4.62983548895137,-0.186290726247462,-0.111482582421427,0.0581674376366387,0.0581674376366387,-0.186290726247462,-0.111482582421427,32,26.6,23.5,24.6,26,24.6
"ld0011","ld0011_3",3,-6.04619447680988,-6.07056663064048,-5.73705398347126,-5.52386079526576,-5.32129391741495,-5.21062119075331,-0.649210659809684,-0.171277416374417,-0.776943467517424,-0.776943467517424,-0.171277416374417,-0.649210659809684,30,22,24.5,26,24.5,24
"ld0011","ld0011_4",4,-5.98933761064186,-5.37588374286254,-5.57762658933988,-6.02389807341212,-5.27352739284375,-4.88020339368885,-0.476592670766664,-0.720828873275605,-0.360836962208546,-0.476592670766664,-0.720828873275605,-0.360836962208546,24,29,26.5,25.5,22,26
"ld0011","ld0011_7",7,-5.95904305017316,-5.7859041168173,-5.82010687463902,-5.69528646814694,-5.25777598739659,-5.02343987394538,-0.841521930705356,-0.507723433990825,-0.515523606149344,-0.507723433990825,-0.515523606149344,-0.841521930705356,25.5,26,28,30,25,22
"ld0011","ld0011_8",8,-5.75413221433154,-5.61415888746039,-5.45413877459809,-4.91652588037761,-5.0377991126023,-4.87139192093748,-0.760873664884129,-0.801104107557677,-0.376182131445275,-0.376182131445275,-0.801104107557677,-0.760873664884129,25.5,26,23,24,21.5,22
"ld0011","ld0011_9",9,-5.76041251046535,-5.92232549963859,-5.30097188667114,-5.22030650629452,-5.17230534869618,-4.98922528286349,-0.586042475927687,-0.72882306171944,-0.72882306171944,-0.586042475927687,-0.8253322041025,-0.8253322041025,24,28,22.5,23,23,30
"ld0013","ld0013_1",1,-5.32870482402952,-5.79831152961799,-5.51998875203032,-5.22130651183781,-4.96534037403914,-4.76887994188532,-0.531145016204281,-0.760873664884129,-0.833423291814153,-0.531145016204281,-0.833423291814153,-0.760873664884129,27.5,25.5,22,26,24.5,24
"ld0013","ld0013_10",10,-5.67950985268857,-5.50206915927478,-5.46189238292106,-5.02909971718722,-4.69507213666342,-4.64887790270243,-1.42807562091088,-1.75490770097947,-1.5152017638754,-1.75490770097947,-1.5152017638754,-1.42807562091088,26,22,21.5,24,22,22
"ld0013","ld0013_2",2,-5.64556036007986,-5.27157573268507,-5.55922119796721,-4.24999354394326,-4.95137159791916,-4.4251092658421,-0.89027313163634,-1.17182596989856,-1.61206182619242,-1.17182596989856,-1.61206182619242,-0.89027313163634,26,27,32,24,26,26.5
"ld0013","ld0013_3",3,-5.47630281784993,-5.40932848349246,-5.68684158528757,-4.58317907282208,-4.88530600318088,-5.1398493910963,-1.6032115541942,-1.82722221065208,-1.64755345416279,-1.6032115541942,-1.64755345416279,-1.82722221065208,26,25.5,23,32,26,22
"ld0013","ld0013_4",4,-5.80674852599983,-5.40837779841836,-5.52716691615156,-4.94456655371656,-5.18019803189095,-5.05441039474532,-1.63866692912394,-1.299004957704,-1.63866692912394,-1.299004957704,-1.66535385208048,-1.66535385208048,24.5,24.5,24,26,32,24.5
"ld0013","ld0013_6",6,-4.97094238475284,-5.70738425328031,-6.24090125369792,-5.35148631360964,-5.02658466174188,-4.70536970917505,-1.35040307998272,-1.2564045238804,-1.2564045238804,-0.898425026028292,-0.898425026028292,-1.35040307998272,32,28,24,23,24,23.5
"ld0013","ld0013_7",7,-5.81573634545391,-5.73303076611121,-5.06250749285872,-5.37707857902075,-5.052513471181,-6.06403179908852,-1.18867586051718,-1.29046812382114,-1.3848384066868,-1.3848384066868,-1.18867586051718,-1.29046812382114,24,22,28,24,24,24
"ld0013","ld0013_8",8,-5.31327426537325,-5.43924380668761,-5.15826468383325,-5.30939024522232,-4.97258083767913,-4.8193058058135,-1.20555853304483,-1.15500873412717,-1.05478404801854,-1.15500873412717,-1.05478404801854,-1.20555853304483,32,23.5,28,30,23,23
"ld0013","ld0013_9",9,-5.09892337663679,-5.29594897340655,-5.09206169613345,-5.18948036089046,-4.62524024904203,-4.69064038756253,-1.32466596489661,-1.33323652454843,-1.33323652454843,-1.59437029928566,-1.59437029928566,-1.32466596489661,22,32,21.5,22,28,26
"ld0018","ld0018_1",1,-5.59533676311335,-5.12179241096567,-4.88089812795395,-4.83714347999897,-4.76233500376867,-4.97366470673217,0.63736581631691,0.879925764959477,0.879925764959477,0.671462877640307,0.671462877640307,0.63736581631691,32,30,20.5,22.5,26,27.5
"ld0018","ld0018_10",10,-5.38554462138307,-5.41206428330162,-5.31657462054887,-4.57434073505195,-4.91346062625778,-4.11232901739541,-0.104037115690907,-0.360836962208546,-0.414664194252828,-0.104037115690907,-0.360836962208546,-0.414664194252828,26,30,28,23.5,21.5,23
"ld0018","ld0018_2",2,-5.19457988730152,-5.41289377393659,-4.80261541109925,-4.31914708887524,-4.65748884799065,-4.82140379106454,0.779681782178723,1.04446787602762,0.779681782178723,0.839967025394838,1.04446787602762,0.839967025394838,24,23,28,25.6,23.6,26.6
"ld0018","ld0018_3",3,-5.80242494036331,-5.13278292827046,-3.9151155825189,-4.59085681280438,-4.8155564585269,-3.98875465487656,0.281701541729117,0.281701541729117,-0.141328496424409,0.0215680964066713,0.0215680964066713,-0.141328496424409,26,28,32,22,26,26
"ld0018","ld0018_6",6,-5.80420321113762,-6.27326899336296,-5.56169584515686,-5.62805052187314,-4.73780951947285,-4.21362105753439,0.359656006648881,0.492676867026398,0.492676867026398,0.267452456520801,0.267452456520801,0.359656006648881,24,24.5,22,24,28,24.5
"ld0018","ld0018_7",7,-6.10011000785042,-5.97237236819893,-5.48484045743781,-4.77717597375905,-4.7699211339987,-5.168782675104,0.0508599079904245,-0.000465832339038638,0.0508599079904245,0.267452456520801,0.267452456520801,-0.000465832339038638,28,27,26.5,23.5,22,24
"ld0018","ld0018_9",9,-5.26777050890472,-5.69235778565879,-5.34993387105709,-5.00639310491813,-5.02719556152689,-4.77644973080189,0.195853940256796,-0.299726210058496,-0.476592670766664,0.195853940256796,-0.476592670766664,-0.299726210058496,32,24,30,25,25,28
"ld0020","ld0020_10",10,-5.58196917144973,-5.68730330510914,-5.682076366013,-5.20421500677384,-5.12009252317032,-4.83811965858303,-1.2649078963806,-1.18024682542795,-1.18024682542795,-1.41075487475698,-1.2649078963806,-1.41075487475698,32,26,24.5,23.5,24,30
"ld0020","ld0020_2",2,-5.87735545211414,-5.03437818906121,-5.46847812647883,-4.92610932818348,-4.85881779115342,-5.01945245123334,-0.307341560211187,-0.499930266927236,-0.059497971162887,-0.059497971162887,-0.307341560211187,-0.499930266927236,32,26.2,23.5,23,26,27
"ld0020","ld0020_3",3,-5.88090075201819,-5.02128474877955,-5.80353507742568,-5.1320103608789,-5.0003660537041,-4.57535850310219,-0.360836962208546,-0.34551888066328,-0.353174541452785,-0.353174541452785,-0.34551888066328,-0.360836962208546,30,22,25.5,26,25.5,25.5
"ld0020","ld0020_5",5,-6.10703208878458,-5.73923453809906,-5.60581745841446,-5.42866252632218,-4.56711784742635,-4.77875589168521,-0.760873664884129,-0.461069069234886,-0.760873664884129,-0.461069069234886,-0.507723433990825,-0.507723433990825,24.5,30,22,23.5,24.5,24
"ld0020","ld0020_6",6,-5.72281331785436,-5.62505521642241,-5.47899259927746,-5.24453207975439,-4.83415514012418,-4.82205821891928,-0.468827398711954,-0.468827398711954,1.97698979123421,-0.523330796007559,-0.330227791346171,-0.330227791346171,32,25,28,24,22,24
"ld0020","ld0020_7",7,-6.14081967731947,-5.76599378584872,-5.1951672720721,-5.45648343058441,-5.07618536667952,-5.24659284515222,-1.35040307998272,-1.28193967994836,-0.68096802715518,-1.28193967994836,-0.68096802715518,-1.35040307998272,26.5,25.5,28,30,26,22
"ld0020","ld0020_8",8,-6.11766516138263,-5.60469905883245,-5.67405689020708,-5.37457894836288,-5.35216697816368,-5.12971836818652,-1.11310768245006,-1.04648400822549,-0.617569089867457,-0.617569089867457,-1.04648400822549,-1.11310768245006,22,30,23.5,32,23,26
"ld0027","ld0027_10",10,-5.40407951840644,-5.30680246338105,-5.4788636999838,-5.09881098499998,-5.12801019430124,-4.6991559731876,0.338465053646595,0.324308947828485,-0.0520969549854148,0.338465053646595,0.324308947828485,-0.0520969549854148,26,30,28,22.5,23,21.5
"ld0027","ld0027_2",2,-5.14791501722818,-4.58022180123216,-4.95351067249393,-4.96106315003852,-4.89641794127122,-4.56328533250259,1.9652710981068,1.82339833136025,2.01788103929633,2.01788103929633,1.9652710981068,1.82339833136025,32,25.2,24.5,24.8,26,26.2
"ld0027","ld0027_3",3,-5.49755397968686,-5.43881583008833,-5.29925100225024,-4.94802647739123,-4.71285517892896,-4.69055434216536,1.2760582509416,1.50162826125331,1.19954615254406,1.19954615254406,1.50162826125331,-1.47152934687492,30,22,25.5,26,28,24
"ld0027","ld0027_5",5,-6.06401717558985,-5.23335356085676,-5.00119766891161,-5.00604738466629,-4.85829599668917,-4.67297173167123,1.56325984803755,1.7033730300382,1.56325984803755,1.7033730300382,1.88871140079524,1.88871140079524,24,30,22,25,23.5,24
"ld0027","ld0027_7",7,-6.2647236655502,-5.54536971896312,-5.40086007816941,-5.34966497820022,-5.00430432702736,-4.87020075188013,0.457868593550985,0.596271701908755,0.698644390677814,0.596271701908755,0.698644390677814,0.457868593550985,25.5,26,28,30,25,22
"ld0027","ld0027_8",8,-5.00972860526283,-5.74678121156212,-5.01258143660369,-5.19132586167652,-5.21398761523806,-4.87438725739307,0.644195955152066,0.603134249472478,1.06400489953431,1.06400489953431,0.603134249472478,0.644195955152066,22,30,24,32,23,26
"ld0042","ld0042_2",2,-5.38478612714421,-5.67034963280781,-5.13879354792014,-5.35202430828233,-4.53887208881281,-4.8206765996207,1.24426015401227,1.33930700719965,1.24426015401227,1.30141310007424,1.33930700719965,1.30141310007424,24,24.5,28,26.6,24.4,26.8
"ld0042","ld0042_3",3,-6.02966788995798,-4.94494671577803,-5.65779337265829,-4.42279979705311,-4.27131265043464,-4.2503363458413,0.939520977044187,1.2760582509416,0.859969395239437,0.859969395239437,1.2760582509416,0.939520977044187,30,22,25.5,26,25,25.5
"ld0042","ld0042_4",4,-5.73903873664111,-4.76335850612542,-4.98126738385984,-5.70353780459036,-4.29294922007719,-4.12948068946578,1.2760582509416,1.44578307854202,1.33930700719965,1.2760582509416,1.44578307854202,1.33930700719965,24,25.5,25.5,24.5,22,26
"ld0042","ld0042_5",5,-5.41267736747822,-5.18832334219065,-5.39602854644759,-4.89970005114575,-4.75432040564812,-4.21654195935109,1.73955525455837,1.09646917586476,1.09646917586476,1.28240391187672,1.73955525455837,1.28240391187672,24,26,25.5,22,28,24
"ld0042","ld0042_6",6,-6.34481189079744,-5.99279022543132,-4.31532852213339,-5.39665570660521,-4.41767420630737,-4.39048333195325,1.18672829062404,1.23788652835514,1.23788652835514,1.02488676743616,1.02488676743616,1.18672829062404,24,24.5,22,24,28,24
"ld0042","ld0042_7",7,-5.9888898644498,-5.43083829843144,-5.14417102958735,-5.57003947942109,-4.81769061302341,-4.53762266518405,0.859969395239437,0.946117473707008,0.859969395239437,1.02488676743616,1.02488676743616,0.946117473707008,28,25.5,25.5,24.5,22,24
"ld0042","ld0042_8",8,-5.98602815112331,-5.86283213491615,-4.69568346931866,-4.35205626665172,-3.90336008709337,-4.6490048390102,0.926312921309986,1.18031225266664,1.07700518802132,1.07700518802132,1.18031225266664,0.926312921309986,25,26,25,24,22.5,22
"ld0042","ld0042_9",9,-5.85362479879078,-5.95403158487567,-5.08271223787748,-5.11115272312059,-5.21910792902459,-4.88685746318522,0.457868593550985,0.485726373309142,0.485726373309142,0.457868593550985,0.373754614042706,0.373754614042706,24,28,22.5,23,22.5,30
"ld0043","ld0043_2",2,-6.10976801816738,-5.78873597053639,-5.28829060297236,-4.84849514382628,-4.49762848085451,-4.25122541558372,-0.368506154879245,-0.980367947877414,-0.720828873275605,-0.980367947877414,-0.720828873275605,-0.368506154879245,26,25,32,24,25,25
"ld0043","ld0043_3",3,-6.24401116279151,-5.64299852435675,-5.50002041692742,-5.36779006742041,-5.01349397623727,-4.95830483275235,-0.841521930705356,-0.89027313163634,-0.922926757907411,-0.841521930705356,-0.922926757907411,-0.89027313163634,22.5,24.5,25.5,22,32,26
"ld0043","ld0043_4",4,-5.69643771357148,-4.58610508549992,-5.57865474409391,-4.71539328263152,-5.17559879736651,-5.13282496221152,-1.12984383217408,-0.673017782950825,-1.12984383217408,-0.673017782950825,-1.32466596489661,-1.32466596489661,25.5,24,24,26,32,24.5
"ld0043","ld0043_5",5,-5.96544325662554,-5.57806195765221,-5.71121381882196,-5.41601275604546,-5.13731444561076,-6.02073518287347,-0.68892556181833,-0.817248653502053,-0.833423291814153,-0.817248653502053,-0.68892556181833,-0.833423291814153,24.5,25,23.5,22,28,26
"ld0049","ld0049_1",1,-5.77186326221818,-4.98624702049522,-5.07081373421655,-4.73585033299369,-4.60853082662034,-4.98415676500942,1.38330843186102,1.90053386984743,1.90053386984743,1.6183564835538,1.6183564835538,1.38330843186102,32,30,21,22.5,26,28.5
"ld0049","ld0049_10",10,-5.13233913733293,-5.63188646136643,-5.65538695977913,-5.4081541077945,-5.00267233279398,-4.95525333221315,0.568767111712586,0.331389887382602,0.331389887382602,0.464841427145989,0.568767111712586,0.464841427145989,32,26,22,22.5,22.5,30
"ld0049","ld0049_2",2,-4.20257231781988,-5.40911351742923,-5.21826407431513,-5.05954726818421,-4.99997907382779,-4.72983302078377,1.6183564835538,1.73955525455837,1.6183564835538,1.50162826125331,1.73955525455837,1.50162826125331,24,23.5,28,25.6,24,25.4
"ld0049","ld0049_3",3,-6.03692645606857,-5.71567814846259,-5.36495601140246,-5.33015009419943,-5.18938475841588,-4.81986949051964,1.50781115495418,1.50781115495418,1.23788652835514,1.40835229034624,1.40835229034624,1.23788652835514,24,28,32,22,24.5,24.5
"ld0049","ld0049_4",4,-5.91239609848609,-5.27081563007258,-5.61175412872783,-5.91956443906488,-4.64502951901564,-4.89896852472111,1.37075934660524,1.88871140079524,1.28240391187672,1.37075934660524,1.88871140079524,1.28240391187672,24,27,25.5,24.5,22,26
"ld0049","ld0049_5",5,-5.81701556453259,-5.65507802844616,-5.57928072684634,-5.20782696505506,-4.86212856860037,-5.00441985004977,1.53249877030267,1.3077402537939,1.3077402537939,1.53865971549726,1.53249877030267,1.53865971549726,25,26,25.5,22,28,25.5
"ld0049","ld0049_7",7,-5.96337906267601,-5.58053546042251,-5.21330732422663,-6.3254821188855,-4.69477361034092,-4.72558613472011,1.08349803601751,0.899836345645672,1.3644779920479,0.899836345645672,1.3644779920479,1.08349803601751,25,25.5,28,30,24,22
"ld0049","ld0049_8",8,-6.51598890488731,-5.67905669188426,-5.45820141744807,-5.19831240631006,-4.92861996409134,-4.9718162481389,0.651020722269143,0.691856990298872,1.07700518802132,1.07700518802132,0.691856990298872,0.651020722269143,23.5,26,24,24,22.5,22
"ld0049","ld0049_9",9,-5.91157557432797,-5.64509516350894,-5.36547242784316,-5.37954759571286,-5.2209104988814,-5.08965723542907,0.589403722965308,0.401883296507264,0.401883296507264,0.589403722965308,0.387830352639158,0.387830352639158,24,28,21.5,23.5,23.5,30
"ld0051","ld0051_10",10,-6.00331812398538,-5.71164913585753,-5.86972702962061,-5.63958448024127,-4.79179727831204,-5.14791536137293,-0.617569089867457,-0.499930266927236,-0.499930266927236,-0.430104929540413,-0.617569089867457,-0.430104929540413,32,26,22,22.5,22.5,30
"ld0051","ld0051_2",2,-4.96115665269596,-4.66228862415649,-5.11731434530682,-5.07291061819737,-4.60774219075846,-4.66742119215084,1.07700518802132,0.657840126110918,0.718974796561386,0.718974796561386,1.07700518802132,0.657840126110918,32,28,23.5,24.6,26,26.6
"ld0051","ld0051_3",3,-4.50108696572482,-4.79020722637261,-5.07812986003235,-5.06365718691274,-4.14671650129562,-4.50353279255639,0.28881731985812,0.779681782178723,0.83328930983478,0.83328930983478,0.779681782178723,0.28881731985812,30,22,25.5,26,26,25.5
"ld0051","ld0051_5",5,-5.24891786425327,-4.9674103010909,-5.24891786425327,-5.08633507096067,-4.22309360282901,-4.48173992596175,0.859969395239437,0.879925764959477,0.859969395239437,0.879925764959477,1.05098510573093,1.05098510573093,25,30,22,23.5,27,24
"ld0051","ld0051_7",7,-5.80911732397674,-5.48974182936103,-5.21655251185207,-4.59360472451732,-5.17648228486321,-4.61649921781282,-0.111482582421427,-0.0520969549854148,0.0727640616705094,-0.0520969549854148,0.0727640616705094,-0.111482582421427,23.5,25,28,30,25.5,22
"ld0051","ld0051_8",8,-6.11497952902588,-5.91433315011287,-4.61684831061764,-4.6718496640058,-5.26078923885586,-5.07653586239907,-0.0078229255665579,-0.269331464650908,0.0873361741495521,0.0873361741495521,-0.269331464650908,-0.0078229255665579,24,30,23.5,32,25.5,26
"ld0051","ld0051_9",9,-6.32070166047066,-5.65346804419967,-4.88808656574773,-4.64280923063873,-5.34901147206405,-4.96933525385806,-0.26174938383471,-0.239042809320918,-0.368506154879245,-0.26174938383471,-0.368506154879245,-0.239042809320918,32,23.5,30,24,24,28
"ld0065","ld0065_1",1,-4.52453857482918,-5.62223446974202,-5.15579887911049,-4.57773937446895,-5.29930445355817,-4.98135900748665,-0.292117537109773,-0.712842042576433,-0.562472454351212,-0.292117537109773,-0.562472454351212,-0.712842042576433,27,26,22,26,25.5,24
"ld0065","ld0065_10",10,-5.49309821901677,-5.31288354003083,-5.10789305921423,-4.79306122358691,-4.72837542023022,-4.42338510640564,-0.231487135406856,-0.507723433990825,-0.760873664884129,-0.507723433990825,-0.760873664884129,-0.231487135406856,24,32,30,23.5,24,23
"ld0065","ld0065_2",2,-5.44418835118117,-5.45767893282596,-5.34940899706059,-5.18345236198405,-4.9864670628722,-4.26505544847811,-0.178780824487466,-0.523330796007559,-0.468827398711954,-0.523330796007559,-0.468827398711954,-0.178780824487466,26,24.5,32,24,24,24.5
"ld0065","ld0065_3",3,-5.70654729324707,-5.4161092772438,-5.24385721195985,-5.15724793148801,-4.52867860688387,-4.85302121875321,-0.601791465626328,-0.704862556090431,-0.72882306171944,-0.601791465626328,-0.72882306171944,-0.704862556090431,25,25.5,23,32,26,22
