series,id,samp_period,Intercept,inverseK_incb_temp,z.log.mass,inverseK_prior_temp2
ld0002_1,ld0002,1,-0.578393312,1.597300632,0.354044931,0.051851362
ld0002_10,ld0002,10,-0.025933611,1.354136365,0.354044931,0.051851362
ld0002_2,ld0002,2,-0.188702435,1.381110944,0.354044931,0.051851362
ld0002_3,ld0002,3,0.227837707,1.297563959,0.354044931,0.051851362
ld0002_4,ld0002,4,0.34493727,1.133456809,0.354044931,0.051851362
ld0002_5,ld0002,5,0.039595159,1.48205219,0.354044931,0.051851362
ld0002_6,ld0002,6,0.122631448,1.526619551,0.354044931,0.051851362
ld0002_7,ld0002,7,-0.080991079,1.495943682,0.354044931,0.051851362
ld0002_8,ld0002,8,0.314926725,1.205387707,0.354044931,0.051851362
ld0002_9,ld0002,9,0.391952573,1.162533163,0.354044931,0.051851362
ld0006_1,ld0006,1,-0.211410495,1.447240746,0.354044931,0.051851362
ld0006_10,ld0006,10,0.095898691,1.452052688,0.354044931,0.051851362
ld0006_2,ld0006,2,0.161553306,1.335125086,0.354044931,0.051851362
ld0006_3,ld0006,3,-0.033445727,1.467229894,0.354044931,0.051851362
ld0006_4,ld0006,4,-0.025325157,1.371493122,0.354044931,0.051851362
ld0006_5,ld0006,5,0.12098173,1.259806724,0.354044931,0.051851362
ld0006_6,ld0006,6,-0.457741814,1.59837286,0.354044931,0.051851362
ld0006_7,ld0006,7,-0.103593069,1.464757356,0.354044931,0.051851362
ld0006_8,ld0006,8,0.005937047,1.421425792,0.354044931,0.051851362
ld0006_9,ld0006,9,0.180511047,1.306510924,0.354044931,0.051851362
ld0011_1,ld0011,1,0.570055179,1.025905399,0.354044931,0.051851362
ld0011_10,ld0011,10,-0.049866928,1.39793684,0.354044931,0.051851362
ld0011_2,ld0011,2,0.571395827,1.079965835,0.354044931,0.051851362
ld0011_3,ld0011,3,-0.356125788,1.574098463,0.354044931,0.051851362
ld0011_4,ld0011,4,-0.210871791,1.473388497,0.354044931,0.051851362
ld0011_5,ld0011,5,-0.019044944,1.361171075,0.354044931,0.051851362
ld0011_6,ld0011,6,-0.209192468,1.518274597,0.354044931,0.051851362
ld0011_7,ld0011,7,-0.273585679,1.529390863,0.354044931,0.051851362
ld0011_8,ld0011,8,0.061472259,1.373714677,0.354044931,0.051851362
ld0011_9,ld0011,9,-0.043948608,1.419058282,0.354044931,0.051851362
ld0013_1,ld0013,1,-0.114618824,1.43738029,0.354044931,0.051851362
ld0013_10,ld0013,10,0.13213957,1.371213705,0.354044931,0.051851362
ld0013_2,ld0013,2,0.213251676,1.350809565,0.354044931,0.051851362
ld0013_3,ld0013,3,0.159798554,1.273678405,0.354044931,0.051851362
ld0013_4,ld0013,4,-0.001330608,1.368769871,0.354044931,0.051851362
ld0013_5,ld0013,5,-0.068542403,1.443124438,0.354044931,0.051851362
ld0013_6,ld0013,6,-0.072863374,1.368510401,0.354044931,0.051851362
ld0013_7,ld0013,7,-0.20873637,1.350569933,0.354044931,0.051851362
ld0013_8,ld0013,8,0.09548771,1.284694605,0.354044931,0.051851362
ld0013_9,ld0013,9,0.324785565,1.187387674,0.354044931,0.051851362
ld0018_1,ld0018,1,-0.044990814,1.339812153,0.354044931,0.051851362
ld0018_10,ld0018,10,0.178408712,1.340547597,0.354044931,0.051851362
ld0018_2,ld0018,2,0.093704944,1.272909061,0.354044931,0.051851362
ld0018_3,ld0018,3,0.356811512,1.282662833,0.354044931,0.051851362
ld0018_4,ld0018,4,0.176725148,1.229892225,0.354044931,0.051851362
ld0018_5,ld0018,5,0.094873995,1.380047325,0.354044931,0.051851362
ld0018_6,ld0018,6,-0.422946248,1.724294778,0.354044931,0.051851362
ld0018_7,ld0018,7,-0.342911108,1.593132125,0.354044931,0.051851362
ld0018_8,ld0018,8,-0.084842198,1.508325896,0.354044931,0.051851362
ld0018_9,ld0018,9,-0.048586153,1.360240509,0.354044931,0.051851362
ld0020_1,ld0020,1,0.05184979,1.338976249,0.354044931,0.051851362
ld0020_10,ld0020,10,0.080255591,1.340850773,0.354044931,0.051851362
ld0020_2,ld0020,2,0.066133272,1.329544104,0.354044931,0.051851362
ld0020_3,ld0020,3,0.015820818,1.398594195,0.354044931,0.051851362
ld0020_4,ld0020,4,0.228233613,1.225453232,0.354044931,0.051851362
ld0020_5,ld0020,5,-0.116393431,1.533836812,0.354044931,0.051851362
ld0020_6,ld0020,6,-0.099053151,1.453617651,0.354044931,0.051851362
ld0020_7,ld0020,7,-0.08726971,1.420095033,0.354044931,0.051851362
ld0020_8,ld0020,8,-0.181947755,1.463547678,0.354044931,0.051851362
ld0020_9,ld0020,9,-0.010031938,1.402185309,0.354044931,0.051851362
ld0027_1,ld0027,1,0.031327948,1.404575185,0.354044931,0.051851362
ld0027_10,ld0027,10,0.113245597,1.29945068,0.354044931,0.051851362
ld0027_2,ld0027,2,0.164762979,1.207508373,0.354044931,0.051851362
ld0027_3,ld0027,3,0.027265781,1.450546568,0.354044931,0.051851362
ld0027_4,ld0027,4,-0.108128086,1.445135242,0.354044931,0.051851362
ld0027_5,ld0027,5,-0.16052651,1.507123424,0.354044931,0.051851362
ld0027_6,ld0027,6,-0.103144727,1.396522867,0.354044931,0.051851362
ld0027_7,ld0027,7,-0.234377076,1.567593248,0.354044931,0.051851362
ld0027_8,ld0027,8,0.043427532,1.268216516,0.354044931,0.051851362
ld0027_9,ld0027,9,0.07174597,1.348001157,0.354044931,0.051851362
ld0042_1,ld0042,1,0.253750837,1.196162936,0.354044931,0.051851362
ld0042_10,ld0042,10,-0.273409052,1.481588085,0.354044931,0.051851362
ld0042_2,ld0042,2,-0.128705475,1.406588737,0.354044931,0.051851362
ld0042_3,ld0042,3,0.082987316,1.463314018,0.354044931,0.051851362
ld0042_4,ld0042,4,0.054181487,1.389120861,0.354044931,0.051851362
ld0042_5,ld0042,5,0.012625253,1.385461484,0.354044931,0.051851362
ld0042_6,ld0042,6,-0.175709411,1.622605262,0.354044931,0.051851362
ld0042_7,ld0042,7,-0.194707913,1.504977713,0.354044931,0.051851362
ld0042_8,ld0042,8,0.090135336,1.479728617,0.354044931,0.051851362
ld0042_9,ld0042,9,-0.187447432,1.466914406,0.354044931,0.051851362
ld0043_1,ld0043,1,0.116292288,1.259638496,0.354044931,0.051851362
ld0043_2,ld0043,2,0.105432454,1.521933345,0.354044931,0.051851362
ld0043_3,ld0043,3,-0.145234142,1.51622442,0.354044931,0.051851362
ld0043_4,ld0043,4,0.280720941,1.154844674,0.354044931,0.051851362
ld0043_5,ld0043,5,-0.275511924,1.398838094,0.354044931,0.051851362
ld0043_6,ld0043,6,-0.022140006,1.381079047,0.354044931,0.051851362
ld0049_1,ld0049,1,0.172932004,1.299270029,0.354044931,0.051851362
ld0049_10,ld0049,10,0.135696276,1.2493607,0.354044931,0.051851362
ld0049_2,ld0049,2,0.344396801,1.040302114,0.354044931,0.051851362
ld0049_3,ld0049,3,-0.205909458,1.537138832,0.354044931,0.051851362
ld0049_4,ld0049,4,-0.18634583,1.496904877,0.354044931,0.051851362
ld0049_5,ld0049,5,-0.154076375,1.47856786,0.354044931,0.051851362
ld0049_6,ld0049,6,-0.214868462,1.534203882,0.354044931,0.051851362
ld0049_7,ld0049,7,-0.162136414,1.507652875,0.354044931,0.051851362
ld0049_8,ld0049,8,-0.175046146,1.579892259,0.354044931,0.051851362
ld0049_9,ld0049,9,-0.029843161,1.391458586,0.354044931,0.051851362
ld0051_1,ld0051,1,0.201491424,1.255861658,0.354044931,0.051851362
ld0051_10,ld0051,10,-0.345070052,1.572757595,0.354044931,0.051851362
ld0051_2,ld0051,2,0.174346113,1.185831361,0.354044931,0.051851362
ld0051_3,ld0051,3,0.379679318,1.088524865,0.354044931,0.051851362
ld0051_4,ld0051,4,0.103573698,1.421438083,0.354044931,0.051851362
ld0051_5,ld0051,5,0.071145927,1.3395823,0.354044931,0.051851362
ld0051_6,ld0051,6,-0.08997251,1.48851261,0.354044931,0.051851362
ld0051_7,ld0051,7,-0.046409787,1.436404532,0.354044931,0.051851362
ld0051_8,ld0051,8,-0.165639471,1.485274526,0.354044931,0.051851362
ld0051_9,ld0051,9,-0.160783486,1.504656864,0.354044931,0.051851362
ld0065_1,ld0065,1,0.169833499,1.135955315,0.354044931,0.051851362
ld0065_10,ld0065,10,0.137010641,1.356063288,0.354044931,0.051851362
ld0065_2,ld0065,2,-0.031203192,1.434457972,0.354044931,0.051851362
ld0065_3,ld0065,3,-0.009730464,1.415685133,0.354044931,0.051851362
ld0065_4,ld0065,4,-0.004464473,1.338923317,0.354044931,0.051851362
ld0065_5,ld0065,5,-0.246279446,1.449060234,0.354044931,0.051851362
ld0065_6,ld0065,6,0.167662284,1.259673093,0.354044931,0.051851362
ld0065_7,ld0065,7,0.16595084,1.254561641,0.354044931,0.051851362
ld0065_8,ld0065,8,0.050641258,1.426160341,0.354044931,0.051851362
ld0065_9,ld0065,9,-0.008869882,1.45847691,0.354044931,0.051851362
ld0069_1,ld0069,1,0.380975319,1.042294758,0.354044931,0.051851362
ld0069_10,ld0069,10,0.280351126,1.234125949,0.354044931,0.051851362
ld0069_2,ld0069,2,-0.167662189,1.514715153,0.354044931,0.051851362
ld0069_3,ld0069,3,-0.443492573,1.628353381,0.354044931,0.051851362
ld0069_4,ld0069,4,-0.251548929,1.585950844,0.354044931,0.051851362
ld0069_5,ld0069,5,-0.097009585,1.539346944,0.354044931,0.051851362
ld0069_6,ld0069,6,0.029530291,1.456731404,0.354044931,0.051851362
ld0069_7,ld0069,7,0.313438208,1.113664457,0.354044931,0.051851362
ld0069_8,ld0069,8,-0.161591975,1.53824169,0.354044931,0.051851362
ld0069_9,ld0069,9,-0.050822895,1.466673262,0.354044931,0.051851362
ld0075_1,ld0075,1,-0.005683016,1.376644676,0.354044931,0.051851362
ld0075_10,ld0075,10,0.102021601,1.425315177,0.354044931,0.051851362
ld0075_2,ld0075,2,-0.009494123,1.35344801,0.354044931,0.051851362
ld0075_3,ld0075,3,0.290037287,1.090143072,0.354044931,0.051851362
ld0075_4,ld0075,4,0.33496323,1.099233189,0.354044931,0.051851362
ld0075_5,ld0075,5,-0.054955481,1.339351864,0.354044931,0.051851362
ld0075_6,ld0075,6,0.103777892,1.386124811,0.354044931,0.051851362
ld0075_7,ld0075,7,-0.293445118,1.560507758,0.354044931,0.051851362
ld0075_8,ld0075,8,-0.309180216,1.620168583,0.354044931,0.051851362
ld0075_9,ld0075,9,0.130708577,1.347545414,0.354044931,0.051851362
ld0076_1,ld0076,1,0.079795071,1.335693804,0.354044931,0.051851362
ld0076_10,ld0076,10,0.082577567,1.309326402,0.354044931,0.051851362
ld0076_2,ld0076,2,-0.139842327,1.437684412,0.354044931,0.051851362
ld0076_3,ld0076,3,-0.086838377,1.424354387,0.354044931,0.051851362
ld0076_4,ld0076,4,0.412844542,1.173001477,0.354044931,0.051851362
ld0076_5,ld0076,5,-0.215196557,1.412247017,0.354044931,0.051851362
ld0076_6,ld0076,6,-0.388684065,1.562830245,0.354044931,0.051851362
ld0076_7,ld0076,7,-0.089055705,1.421690009,0.354044931,0.051851362
ld0076_8,ld0076,8,0.374744761,1.098909571,0.354044931,0.051851362
ld0076_9,ld0076,9,0.249510652,1.222393907,0.354044931,0.051851362
ld0077_1,ld0077,1,-0.047621131,1.365278394,0.354044931,0.051851362
ld0077_10,ld0077,10,0.151852639,1.372266015,0.354044931,0.051851362
ld0077_2,ld0077,2,-0.002019474,1.447482215,0.354044931,0.051851362
ld0077_3,ld0077,3,0.031164243,1.38152275,0.354044931,0.051851362
ld0077_4,ld0077,4,-0.158547854,1.448166773,0.354044931,0.051851362
ld0077_5,ld0077,5,-0.155103194,1.566760409,0.354044931,0.051851362
ld0077_6,ld0077,6,-0.16282586,1.420879777,0.354044931,0.051851362
ld0077_7,ld0077,7,-0.104001308,1.342448113,0.354044931,0.051851362
ld0077_8,ld0077,8,0.117569403,1.241340797,0.354044931,0.051851362
ld0077_9,ld0077,9,0.206615893,1.221281756,0.354044931,0.051851362
ld0088_1,ld0088,1,0.224122883,1.243192851,0.354044931,0.051851362
ld0088_10,ld0088,10,-0.033386026,1.322896696,0.354044931,0.051851362
ld0088_2,ld0088,2,0.153775817,1.309075345,0.354044931,0.051851362
ld0088_3,ld0088,3,0.507915762,1.014228512,0.354044931,0.051851362
ld0088_4,ld0088,4,0.10936528,1.409807374,0.354044931,0.051851362
ld0088_5,ld0088,5,0.22300865,1.219065744,0.354044931,0.051851362
ld0088_6,ld0088,6,-0.428955438,1.701926989,0.354044931,0.051851362
ld0088_7,ld0088,7,-0.218405983,1.455354399,0.354044931,0.051851362
ld0088_8,ld0088,8,-0.360829645,1.604216209,0.354044931,0.051851362
ld0088_9,ld0088,9,0.326031769,1.070107429,0.354044931,0.051851362
ld0089_1,ld0089,1,0.16817224,1.211413833,0.354044931,0.051851362
ld0089_10,ld0089,10,0.016005569,1.389880092,0.354044931,0.051851362
ld0089_2,ld0089,2,-0.006040427,1.400238723,0.354044931,0.051851362
ld0089_3,ld0089,3,-0.086558182,1.392521882,0.354044931,0.051851362
ld0089_4,ld0089,4,-0.151090758,1.51045607,0.354044931,0.051851362
ld0089_5,ld0089,5,-0.071978418,1.44067136,0.354044931,0.051851362
ld0089_6,ld0089,6,0.112810513,1.328313212,0.354044931,0.051851362
ld0089_7,ld0089,7,0.114322459,1.303099276,0.354044931,0.051851362
ld0089_8,ld0089,8,-0.009466704,1.489064471,0.354044931,0.051851362
ld0089_9,ld0089,9,-0.072397951,1.464794484,0.354044931,0.051851362
ld0092_1,ld0092,1,-0.322823915,1.528143539,0.354044931,0.051851362
ld0092_10,ld0092,10,0.289235322,1.321021053,0.354044931,0.051851362
ld0092_2,ld0092,2,0.025067856,1.421120285,0.354044931,0.051851362
ld0092_3,ld0092,3,0.164794,1.346353552,0.354044931,0.051851362
ld0092_4,ld0092,4,0.365955513,1.16228864,0.354044931,0.051851362
ld0092_5,ld0092,5,-0.174460767,1.451541519,0.354044931,0.051851362
ld0092_6,ld0092,6,-0.06029343,1.449309887,0.354044931,0.051851362
ld0092_7,ld0092,7,0.04747845,1.138600346,0.354044931,0.051851362
ld0092_8,ld0092,8,0.011923281,1.484738331,0.354044931,0.051851362
ld0092_9,ld0092,9,0.111029072,1.332793896,0.354044931,0.051851362
ld0095_1,ld0095,1,0.157409103,1.219481638,0.354044931,0.051851362
ld0095_10,ld0095,10,0.150317942,1.307629885,0.354044931,0.051851362
ld0095_2,ld0095,2,-0.237631154,1.522475349,0.354044931,0.051851362
ld0095_3,ld0095,3,-0.202920194,1.513613208,0.354044931,0.051851362
ld0095_4,ld0095,4,-0.407755026,1.69396246,0.354044931,0.051851362
ld0095_5,ld0095,5,-0.161825324,1.497360737,0.354044931,0.051851362
ld0095_6,ld0095,6,-0.336225163,1.665044823,0.354044931,0.051851362
ld0095_7,ld0095,7,-0.142364188,1.348365463,0.354044931,0.051851362
ld0095_8,ld0095,8,0.372894653,1.230474299,0.354044931,0.051851362
ld0095_9,ld0095,9,0.645817212,1.008796204,0.354044931,0.051851362
ld0104_1,ld0104,1,0.146619097,1.219846397,0.354044931,0.051851362
ld0104_10,ld0104,10,0.025766737,1.500767983,0.354044931,0.051851362
ld0104_2,ld0104,2,-0.206890333,1.460671395,0.354044931,0.051851362
ld0104_3,ld0104,3,-0.034662279,1.407304226,0.354044931,0.051851362
ld0104_4,ld0104,4,0.309892616,1.224466526,0.354044931,0.051851362
ld0104_5,ld0104,5,-0.339891506,1.726222821,0.354044931,0.051851362
ld0104_6,ld0104,6,-0.067500829,1.489256325,0.354044931,0.051851362
ld0104_7,ld0104,7,-0.205567175,1.533721334,0.354044931,0.051851362
ld0104_8,ld0104,8,0.161688209,1.300969922,0.354044931,0.051851362
ld0104_9,ld0104,9,0.089840584,1.297326463,0.354044931,0.051851362
ld0105_1,ld0105,1,-0.005862784,1.343867083,0.354044931,0.051851362
